"","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score","sus_val","aes_val","green_con","con_inno","soc_eth","aes_fun","functional","symbolic","financial"
"11",4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,1,4,5,3,4,3,3,3,3,5,3,5,3,4,3,4,3,4,4,4,4,2,2,2,2,3,4,2,1,2,1,1,2,15,33,6,20,39,16,11,10,6,5
"12",4,4,4,4,4,4,4,3,4,2,2,2,3,4,4,3,3,3,4,3,4,3,2,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4,3,4,3,3,3,2,3,3,4,1,1,5,1,2,17,34,6,20,40,15,11,7,6,3
"13",5,4,4,3,5,5,5,5,4,3,3,3,3,5,4,4,4,4,4,3,4,2,2,2,3,4,5,5,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,5,5,3,5,2,4,3,3,3,3,3,3,4,3,3,4,4,4,2,4,4,3,1,1,1,1,2,22,29,10,21,40,13,12,8,5,5
"14",4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,3,3,3,4,3,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,4,3,4,5,3,5,4,5,5,5,5,5,5,5,5,3,2,3,2,3,3,1,1,1,1,1,1,16,45,7,20,48,20,15,10,7,5
"15",4,3,4,5,5,5,5,4,4,2,2,2,5,5,5,5,4,5,3,2,4,2,3,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,3,5,4,5,4,3,3,3,5,3,5,5,5,3,5,5,5,5,5,2,3,1,1,3,3,3,2,1,1,11,1,2,14,39,6,21,41,17,12,10,6,5
"16",5,4,3,3,4,3,4,4,4,4,3,3,5,5,5,4,5,5,4,4,4,2,2,4,3,3,4,3,4,1,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,3,3,3,5,3,3,3,3,3,3,3,2,1,1,1,3,18,36,6,19,44,14,9,7,7,3
"17",5,3,5,5,5,5,5,5,5,3,2,3,5,5,5,5,5,5,5,3,5,2,3,1,3,3,5,5,3,1,NA,1,NA,NA,NA,1,5,5,5,5,5,3,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,1,3,3,3,3,1,1,1,1,1,2,16,45,8,23,48,20,15,10,6,5
"18",5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,1,5,1,5,5,5,3,5,5,5,5,3,5,3,3,3,2,5,5,7,1,2,1,1,2,21,41,10,24,49,18,15,10,2,5
"19",5,5,5,5,5,4,4,5,5,3,3,3,4,4,4,4,4,5,4,4,4,2,2,2,4,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,4,4,1,3,3,2,3,3,2,1,1,6,1,2,15,41,10,25,46,18,15,10,9,5
"20",5,4,3,4,4,5,4,4,4,3,3,3,4,5,5,4,4,4,3,3,4,3,3,2,4,3,5,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,3,4,3,4,3,3,3,5,2,3,3,3,3,4,4,2,2,4,3,3,3,4,1,1,6,1,1,17,30,7,20,37,14,11,7,6,4
"21",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,2,5,2,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,4,2,1,1,1,1,3,18,36,8,21,44,16,12,8,4,5
"22",5,5,5,4,5,5,5,4,5,3,3,3,4,5,5,4,4,4,4,3,3,3,4,3,3,5,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,3,5,3,5,5,5,5,5,3,4,4,5,5,5,5,3,3,3,3,3,3,3,1,1,1,1,2,18,41,8,24,46,20,15,10,8,5
"23",4,4,5,5,5,5,5,5,5,5,4,3,4,4,5,4,4,4,5,4,5,1,2,4,3,3,5,5,5,NA,NA,NA,NA,NA,NA,1,5,4,3,5,4,4,4,3,5,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,3,7,3,1,9,1,2,16,36,8,23,41,16,13,8,6,5
"24",4,3,4,4,3,4,4,4,3,3,2,3,4,5,5,5,5,4,3,4,5,2,3,2,4,5,4,5,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,3,3,4,3,3,2,3,4,4,5,5,5,4,4,5,5,4,3,3,2,3,3,1,3,1,1,1,2,18,40,7,18,47,18,13,8,5,3
"25",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,2,2,2,4,4,4,2,1,2,1,1,2,18,37,8,21,44,16,12,8,8,4
"26",5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,NA,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,1,1,11,1,2,23,36,8,22,47,16,12,9,8,4
"27",5,5,5,5,5,5,5,5,5,3,4,4,4,4,5,4,3,3,4,5,4,5,5,5,5,5,3,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,1,1,1,1,3,2,1,1,1,1,1,8,39,10,25,38,20,15,10,10,5
"28",5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,1,NA,1,NA,NA,NA,NA,5,5,4,5,4,4,4,3,3,4,4,4,4,3,4,3,4,4,5,3,5,4,4,3,3,3,2,1,1,5,1,2,22,34,8,25,43,16,14,9,7,3
"29",4,3,5,3,4,5,4,5,5,3,3,2,3,5,5,5,5,5,3,3,4,2,5,2,3,3,5,4,4,NA,NA,NA,1,NA,1,NA,3,5,3,5,5,3,4,3,3,3,5,5,3,3,3,4,5,4,4,3,1,3,3,3,3,3,2,1,1,1,1,2,16,34,7,19,41,16,11,10,6,3
"30",4,3,4,4,3,4,4,4,3,3,3,3,3,4,4,3,3,2,2,3,4,3,2,2,4,3,4,4,3,NA,NA,1,NA,NA,NA,NA,4,4,3,4,4,3,3,2,4,2,4,3,4,4,4,4,5,4,5,5,4,3,3,3,3,4,2,1,1,2,1,1,20,39,6,18,47,19,11,8,4,4
"31",4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,4,1,2,18,28,8,19,36,12,11,8,7,4
"32",5,4,4,5,5,4,5,3,4,3,4,4,4,5,4,5,5,4,4,3,4,2,3,3,4,4,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,4,4,3,4,4,3,4,3,4,3,4,3,3,4,5,5,4,5,3,3,4,2,2,3,2,1,2,8,1,2,17,36,8,23,43,19,13,9,6,4
"33",5,3,4,4,5,4,5,5,5,5,4,4,4,5,4,4,4,3,3,4,4,2,3,4,4,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,5,4,4,3,5,4,3,5,3,4,4,4,3,5,5,5,5,5,2,2,2,2,2,3,2,2,1,2,3,1,2,13,37,9,21,41,17,12,9,6,5
"34",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,1,1,1,1,2,18,45,10,25,52,20,15,10,10,5
"35",5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,2,2,3,5,1,2,1,1,4,15,45,10,19,48,20,15,10,10,5
"36",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,18,27,6,15,36,12,9,6,6,3
"37",4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,3,4,3,4,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,3,3,5,3,5,3,3,3,3,3,3,3,3,4,4,3,3,3,1,1,2,2,1,2,20,31,10,19,38,12,15,10,6,3
"38",4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,2,4,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,3,4,4,4,3,5,3,4,3,5,2,4,5,5,4,4,4,2,2,1,2,4,3,2,1,1,2,1,2,14,37,8,20,40,17,10,8,6,5
"39",5,4,3,3,4,5,4,3,4,3,3,2,4,4,3,4,3,3,4,3,3,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,3,1,2,3,3,2,3,4,1,1,1,1,2,14,32,8,19,37,15,12,8,6,4
"40",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,2,1,1,1,18,45,10,25,52,20,15,10,10,5
"41",4,4,5,5,5,4,4,4,5,4,4,4,4,5,4,5,5,4,4,4,4,2,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,5,4,5,5,4,3,3,3,3,3,3,1,2,2,1,2,19,36,8,23,43,19,12,8,7,3
"42",4,3,3,4,4,4,3,4,3,3,3,3,4,4,3,4,3,3,3,3,4,3,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,3,4,4,4,3,3,3,3,3,4,3,3,5,3,3,3,4,4,5,4,3,3,3,3,3,3,3,1,2,4,1,2,18,34,6,18,41,17,11,7,7,3
"43",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,18,45,10,25,52,20,15,10,10,5
"44",5,5,4,5,4,5,4,5,4,3,2,3,4,5,5,5,5,5,5,5,4,5,4,4,3,5,5,5,5,NA,1,NA,NA,NA,NA,NA,4,5,5,5,4,5,5,4,5,4,4,5,4,5,5,5,5,5,5,5,2,2,5,4,5,3,3,1,1,1,1,2,21,43,10,23,54,20,14,9,8,5
"45",5,3,3,3,3,5,3,3,5,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,NA,1,NA,NA,NA,NA,5,5,3,5,3,5,5,5,5,1,5,3,3,3,3,4,5,5,5,4,3,3,3,3,3,4,6,1,1,7,1,2,19,35,10,17,45,19,13,10,6,5
"46",5,5,3,5,3,3,5,3,4,3,2,3,3,4,3,4,4,3,3,3,3,2,4,2,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,3,5,3,5,5,3,5,3,3,3,3,4,4,4,5,5,5,5,2,2,2,4,3,3,3,1,2,2,1,2,16,38,10,21,46,20,13,8,6,5
"47",4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,2,1,2,1,1,2,18,36,8,19,44,16,12,8,7,4
"48",5,5,5,5,4,5,5,3,4,3,5,3,5,5,5,4,5,4,5,4,5,2,2,2,4,4,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,1,2,2,1,2,18,45,10,24,50,20,15,10,6,5
"49",4,4,4,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,4,4,4,4,3,3,3,5,5,5,4,3,4,4,5,5,4,5,5,2,2,2,2,3,3,2,1,1,1,1,2,14,39,6,20,44,19,13,9,8,5
"50",5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,2,2,2,4,4,4,1,1,1,1,1,1,18,35,8,25,44,17,12,8,8,4
"51",5,5,5,5,5,5,5,5,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,NA,NA,1,NA,NA,NA,NA,3,5,5,5,5,5,5,3,5,5,5,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,1,1,1,1,1,2,18,39,10,25,46,16,13,10,8,5
"52",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,1,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,18,45,10,25,52,20,15,10,10,5
"53",4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,2,2,2,3,4,4,4,4,1,1,1,1,1,1,NA,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,4,1,2,18,36,8,21,43,16,12,8,7,4
"54",5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,1,NA,NA,NA,NA,NA,NA,5,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,2,1,1,4,4,4,1,1,1,1,1,2,16,40,8,24,46,20,12,8,9,4
"55",5,5,4,3,3,5,4,3,3,2,2,2,4,3,4,4,3,3,3,2,4,2,2,4,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,5,4,3,4,3,3,5,2,4,3,4,3,4,3,4,4,4,4,2,2,2,4,2,3,3,1,1,2,1,2,15,33,7,20,39,16,13,8,5,5
"56",5,4,5,4,5,4,5,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,4,5,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,2,4,2,1,1,5,5,5,3,1,1,11,1,2,19,35,8,23,43,14,12,10,9,5
"57",4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,NA,NA,1,1,NA,4,4,4,4,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4,4,3,3,2,3,3,3,2,1,2,1,1,2,17,34,7,20,40,16,12,8,6,4
"58",4,3,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,5,4,3,4,3,5,5,2,4,3,4,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,1,1,1,2,18,36,10,19,43,16,12,8,5,4
"59",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,5,3,3,3,3,5,4,1,1,1,1,5,22,31,10,25,38,12,15,10,10,5
"60",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,NA,1,1,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,2,1,1,18,45,10,25,52,20,15,10,10,5
"61",5,5,5,5,5,5,5,3,4,5,4,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,1,4,5,3,5,5,5,4,2,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,3,1,1,1,1,2,18,45,9,25,52,20,12,10,6,5
"62",5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,4,4,4,5,5,4,4,4,4,4,5,5,4,3,3,4,4,4,7,1,1,6,1,2,22,40,10,25,48,18,15,9,7,4
"63",4,4,4,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,1,3,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,2,18,27,8,19,36,12,11,8,7,4
"64",4,3,4,4,4,3,4,3,4,2,2,2,4,4,5,5,4,3,4,2,4,2,2,1,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,1,3,2,4,3,4,3,3,3,3,3,3,3,4,4,3,3,1,1,1,1,2,1,1,2,16,30,10,19,33,12,15,9,3,3
"65",5,5,5,5,3,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,3,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,7,1,2,1,1,2,22,36,8,23,46,16,12,8,8,4
"66",5,5,5,5,5,4,4,3,4,4,2,3,5,5,5,5,3,3,3,4,4,3,5,4,4,4,4,4,3,NA,NA,1,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,4,3,4,2,1,2,3,1,3,18,45,10,25,50,20,14,10,10,5
"67",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,5,3,4,3,5,4,5,5,5,4,5,4,5,5,5,5,3,3,3,3,3,4,4,1,1,1,1,2,19,43,7,24,49,20,13,9,7,5
"68",4,4,4,4,5,5,3,4,4,3,3,4,5,4,4,5,4,5,4,3,4,2,3,2,4,4,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,3,5,3,5,3,5,5,5,5,4,5,5,5,5,5,3,2,3,3,3,3,2,1,2,1,1,2,17,44,8,21,48,20,15,10,6,5
"69",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,NA,1,NA,NA,NA,1,5,5,5,3,5,5,4,3,2,4,3,4,4,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,1,18,44,9,25,52,20,13,8,7,2
